FID;OBJECTID;SHAPE;WC_ID;BEZIRK;STRASSE;ORTSANGABE;AKTIV;AKTIV_TXT;OEFFNUNGSZEIT;EINSCHRAENKUNGEN;PERSONALBETREUUNG;KATEGORIE;AUSSTATTUNG;ICON;ICON_TXT;KONTAKT;ABTEILUNG;INFORMATION;SE_ANNO_CAD_DATA
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cbb;104183;POINT (16.433335636485005 48.232786513278654);M45_BKZ05;22;An der unteren Alten Donau 51;Naturfreunde;-1;JA;Mo-Sa 10:00-19:00 Uhr So 9:00-19 Uhr;Wintersperre;Mo-Sa 10 - 19 Uhr So 9 - 19 Uhr - gratis;;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cba;104184;POINT (16.41549463145434 48.24283286942605);M45_FWC21;21;Arbeiterstrandbadstraße 89;ArbeiterInnenstrand;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - 0,50 €;Damen 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb9;104185;POINT (16.436364556409547 48.22646303378606);M45_MWC75;22;An der unteren Alten Donau / Lange Allee;;-1;JA;00:00-24:00 Uhr;ganzjährig ohne Einschränkungen;nein - gratis;unisex 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb8;104186;POINT (16.427351094629504 48.22340718268241);M45_MWC31;22;Schnitterweg / Harrachgasse;;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb7;104187;POINT (16.43113475900071 48.22077954236604);M45_MWC55;22;Dampschiffhaufen 10;Strombucht;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb6;104188;POINT (16.43111764844481 48.22077423702471);M45_MWC54;22;Dampschiffhaufen 10;Strombucht;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb5;104189;POINT (16.431100609274857 48.22076896219876);M45_MWC53;22;Dampschiffhaufen 10;Strombucht;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb4;104190;POINT (16.4310841764656 48.22076337030883);M45_MWC56;22;Dampschiffhaufen 10;Strombucht;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb3;104191;POINT (16.43698736274767 48.21708396037497);M45_MWC68;22;An der unteren Alten Donau;ggü. 239;-1;JA;00:00-24:00 Uhr;ganzjährig ohne Einschränkungen;nein - gratis;unisex 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb2;104192;POINT (16.43626292728571 48.22138452580933);M45_MWC70;22;An der unteren Alten Donau;ggü. 169;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb1;104193;POINT (16.437225296766783 48.21671259184255);M45_MWC62;22;An der unteren Alten Donau;ggü. 239;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cb0;104194;POINT (16.436394916036356 48.219140191349226);M45_MWC28;22;An der unteren Alten Donau;ggü. 211;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6caf;104195;POINT (16.43638647307854 48.21918024544877);M45_MWC69;22;An der unteren Alten Donau;ggü. 211;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;;;;;;
